id,symbol,type,entry_time,entry_price,sl,tp,entry_index,exit_price,exit_time,pnl_pips,comment
64,EURUSD,SELL,2025-01-24 00:45:00,1.04135,1.04164,1.0410020000000002,16657,1.04164,2025-01-24 01:00:00,-28.99999999999014,SL Hit
65,EURUSD,SELL,2025-01-24 01:05:00,1.04147,1.04167,1.0412299999999997,16661,1.04167,2025-01-24 01:25:00,-20.000000000020002,SL Hit
66,EURUSD,SELL,2025-01-24 01:35:00,1.04151,1.04167,1.0413179999999997,16667,1.04167,2025-01-24 02:05:00,-16.000000000016,SL Hit
67,EURUSD,BUY,2025-01-24 03:10:00,1.0419100000000001,1.04171,1.0421500000000004,16686,1.04171,2025-01-24 03:20:00,-20.000000000020002,SL Hit
68,EURUSD,SELL,2025-01-27 06:10:00,1.04663,1.04682,1.0464019999999998,17010,1.0464019999999998,2025-01-27 06:25:00,22.800000000011696,TP Hit
69,EURUSD,SELL,2025-01-27 23:30:00,1.04888,1.04901,1.048724,17218,1.04901,2025-01-27 23:35:00,-12.999999999996346,SL Hit
70,EURUSD,SELL,2025-01-28 12:45:00,1.04302,1.04342,1.04254,17377,1.04254,2025-01-28 12:50:00,48.00000000000359,TP Hit
71,EURUSD,BUY,2025-01-28 20:15:00,1.0429599999999999,1.04284,1.0431039999999998,17467,1.0431039999999998,2025-01-28 20:20:00,14.399999999992195,TP Hit
72,EURUSD,SELL,2025-01-29 01:35:00,1.04281,1.04292,1.042678,17531,1.04292,2025-01-29 01:55:00,-11.000000000005448,SL Hit
73,EURUSD,SELL,2025-01-29 01:55:00,1.04272,1.0429599999999999,1.0424320000000002,17535,1.0429599999999999,2025-01-29 02:00:00,-23.99999999997959,SL Hit
74,EURUSD,BUY,2025-01-29 03:00:00,1.04312,1.04304,1.0432160000000001,17548,1.04304,2025-01-29 03:05:00,-8.000000000008,SL Hit
75,EURUSD,BUY,2025-01-29 03:10:00,1.04315,1.04299,1.043342,17550,1.04299,2025-01-29 03:15:00,-15.999999999993795,SL Hit
76,EURUSD,BUY,2025-01-29 03:20:00,1.04315,1.04304,1.043282,17552,1.043282,2025-01-29 03:25:00,13.200000000002097,TP Hit
77,EURUSD,BUY,2025-01-29 04:30:00,1.04309,1.04291,1.043306,17566,1.043306,2025-01-29 04:40:00,21.599999999999397,TP Hit
78,EURUSD,BUY,2025-01-29 07:10:00,1.04392,1.04383,1.044028,17598,1.04383,2025-01-29 07:15:00,-8.999999999992347,SL Hit
79,EURUSD,BUY,2025-01-30 00:20:00,1.04185,1.04157,1.0421859999999998,17804,1.0421859999999998,2025-01-30 01:00:00,33.599999999989194,TP Hit
80,EURUSD,BUY,2025-01-30 04:40:00,1.04242,1.04217,1.0427199999999996,17856,1.04243,2025-01-30 05:30:00,1.0000000000065512,Time Stop
81,EURUSD,SELL,2025-01-30 08:05:00,1.04196,1.04215,1.041732,17897,1.041732,2025-01-30 08:10:00,22.799999999989492,TP Hit
82,EURUSD,SELL,2025-01-31 04:05:00,1.0387,1.03907,1.038256,18137,1.03907,2025-01-31 04:10:00,-36.999999999998145,SL Hit
83,EURUSD,SELL,2025-01-31 14:10:00,1.03757,1.03788,1.0371980000000003,18258,1.03788,2025-01-31 14:15:00,-30.99999999998104,SL Hit
84,EURUSD,SELL,2025-01-31 23:05:00,1.03657,1.03872,1.03399,18365,1.0364,2025-01-31 23:55:00,17.000000000000348,Time Stop
85,EURUSD,SELL,2025-02-04 04:35:00,1.03187,1.03199,1.0317260000000001,18719,1.0317260000000001,2025-02-04 04:40:00,14.399999999992195,TP Hit
86,EURUSD,BUY,2025-02-04 21:30:00,1.03843,1.03802,1.038922,18922,1.03802,2025-02-04 21:40:00,-41.000000000002146,SL Hit
87,EURUSD,BUY,2025-02-04 21:45:00,1.03816,1.03791,1.0384599999999997,18925,1.0384599999999997,2025-02-04 21:50:00,29.999999999974488,TP Hit
88,EURUSD,BUY,2025-02-04 22:35:00,1.03822,1.03809,1.038376,18935,1.038376,2025-02-04 22:50:00,15.600000000004497,TP Hit
89,EURUSD,SELL,2025-02-05 00:55:00,1.03768,1.03788,1.03744,18963,1.03788,2025-02-05 01:00:00,-19.999999999997797,SL Hit
90,EURUSD,SELL,2025-02-05 01:05:00,1.03762,1.03802,1.03714,18965,1.03714,2025-02-05 01:55:00,48.00000000000359,TP Hit
91,EURUSD,BUY,2025-02-05 05:25:00,1.03839,1.03813,1.0387019999999998,19017,1.03813,2025-02-05 05:45:00,-25.999999999992692,SL Hit
92,EURUSD,BUY,2025-02-05 20:15:00,1.0419,1.0417,1.04214,19195,1.0417,2025-02-05 20:25:00,-19.999999999997797,SL Hit
93,EURUSD,BUY,2025-02-05 20:35:00,1.042,1.04169,1.042372,19199,1.04169,2025-02-05 20:45:00,-31.000000000003244,SL Hit
94,EURUSD,SELL,2025-02-06 00:20:00,1.04018,1.04033,1.0400000000000003,19244,1.04033,2025-02-06 00:25:00,-14.999999999987244,SL Hit
95,EURUSD,SELL,2025-02-06 01:00:00,1.04006,1.04063,1.039376,19252,1.03999,2025-02-06 01:50:00,7.000000000001449,Time Stop
96,EURUSD,SELL,2025-02-06 01:50:00,1.03999,1.04033,1.039582,19262,1.03992,2025-02-06 02:40:00,7.000000000001449,Time Stop
97,EURUSD,SELL,2025-02-06 07:35:00,1.03883,1.03896,1.0386739999999997,19331,1.0386739999999997,2025-02-06 07:55:00,15.600000000026702,TP Hit
98,EURUSD,SELL,2025-02-06 09:30:00,1.03829,1.03894,1.03751,19354,1.03751,2025-02-06 10:05:00,78.00000000000028,TP Hit
99,EURUSD,SELL,2025-02-06 13:50:00,1.03622,1.03643,1.0359679999999998,19406,1.03643,2025-02-06 13:55:00,-21.00000000000435,SL Hit
100,EURUSD,SELL,2025-02-06 15:00:00,1.0359099999999999,1.0363,1.0354419999999998,19420,1.0354419999999998,2025-02-06 15:05:00,46.80000000001349,TP Hit
101,EURUSD,SELL,2025-02-06 15:15:00,1.03587,1.03611,1.035582,19423,1.035582,2025-02-06 15:25:00,28.800000000006595,TP Hit
102,EURUSD,BUY,2025-02-06 17:55:00,1.03692,1.03646,1.0374720000000002,19455,1.0374720000000002,2025-02-06 18:10:00,55.20000000001079,TP Hit
103,EURUSD,BUY,2025-02-06 22:50:00,1.03873,1.03859,1.0388979999999999,19514,1.0388979999999999,2025-02-06 22:55:00,16.799999999994597,TP Hit
104,EURUSD,BUY,2025-02-07 01:50:00,1.03853,1.0384,1.038686,19550,1.0384,2025-02-07 01:55:00,-12.999999999996346,SL Hit
105,EURUSD,BUY,2025-02-07 04:55:00,1.03841,1.03811,1.03877,19587,1.03811,2025-02-07 05:10:00,-29.999999999996692,SL Hit
106,EURUSD,BUY,2025-02-07 05:20:00,1.03831,1.03824,1.038394,19592,1.03824,2025-02-07 05:35:00,-7.000000000001449,SL Hit
107,EURUSD,SELL,2025-02-07 06:45:00,1.03795,1.03804,1.0378419999999997,19609,1.03804,2025-02-07 06:55:00,-9.000000000014552,SL Hit
108,EURUSD,SELL,2025-02-07 07:40:00,1.03768,1.03799,1.037308,19620,1.037308,2025-02-07 08:10:00,37.2000000000039,TP Hit
109,EURUSD,SELL,2025-02-07 08:45:00,1.03756,1.03769,1.037404,19633,1.03769,2025-02-07 09:00:00,-12.999999999996346,SL Hit
110,EURUSD,SELL,2025-02-10 03:20:00,1.03097,1.03139,1.0304659999999999,19856,1.0304659999999999,2025-02-10 03:30:00,50.40000000000599,TP Hit
111,EURUSD,SELL,2025-02-10 23:45:00,1.03055,1.03069,1.0303820000000001,20101,1.03069,2025-02-10 23:55:00,-14.000000000002897,SL Hit
112,EURUSD,SELL,2025-02-11 00:20:00,1.03054,1.03073,1.0303120000000001,20108,1.03073,2025-02-11 00:40:00,-18.999999999991246,SL Hit
113,EURUSD,SELL,2025-02-11 00:45:00,1.03038,1.03071,1.0299840000000002,20113,1.03071,2025-02-11 01:10:00,-32.999999999994145,SL Hit
114,EURUSD,SELL,2025-02-11 03:45:00,1.03016,1.03038,1.029896,20149,1.029896,2025-02-11 04:15:00,26.400000000004194,TP Hit
115,EURUSD,BUY,2025-02-11 19:25:00,1.03468,1.03442,1.0349920000000001,20337,1.0349920000000001,2025-02-11 20:05:00,31.200000000008995,TP Hit
116,EURUSD,BUY,2025-02-12 11:50:00,1.03712,1.03691,1.0373720000000002,20534,1.0373720000000002,2025-02-12 11:55:00,25.200000000014096,TP Hit
117,EURUSD,BUY,2025-02-12 12:25:00,1.03722,1.03712,1.03734,20541,1.03734,2025-02-12 12:30:00,11.999999999989795,TP Hit
118,EURUSD,BUY,2025-02-12 12:35:00,1.03728,1.03712,1.037472,20543,1.037472,2025-02-12 12:40:00,19.199999999996997,TP Hit
119,EURUSD,SELL,2025-02-17 01:55:00,1.04882,1.04895,1.048664,21279,1.04895,2025-02-17 02:00:00,-12.999999999996346,SL Hit
120,EURUSD,BUY,2025-02-17 18:20:00,1.04793,1.04778,1.04811,21476,1.04811,2025-02-17 18:25:00,18.0000000000069,TP Hit
121,EURUSD,BUY,2025-02-17 18:45:00,1.04792,1.04777,1.0480999999999998,21481,1.0480999999999998,2025-02-17 18:50:00,17.999999999984695,TP Hit
122,EURUSD,BUY,2025-02-17 19:00:00,1.0479,1.04779,1.048032,21484,1.048032,2025-02-17 19:10:00,13.200000000002097,TP Hit
123,EURUSD,BUY,2025-02-17 21:55:00,1.04816,1.04795,1.0484120000000001,21519,1.04826,2025-02-17 22:45:00,9.999999999998899,Time Stop
124,EURUSD,BUY,2025-02-18 01:00:00,1.04828,1.04768,1.0490000000000004,21556,1.04841,2025-02-18 01:50:00,12.999999999996346,Time Stop
125,EURUSD,SELL,2025-02-18 04:40:00,1.0468,1.04706,1.0464879999999999,21600,1.0464879999999999,2025-02-18 05:05:00,31.200000000008995,TP Hit
126,EURUSD,SELL,2025-02-18 22:40:00,1.04441,1.04453,1.0442660000000001,21816,1.04453,2025-02-18 22:45:00,-11.999999999989795,SL Hit
127,EURUSD,SELL,2025-02-18 23:55:00,1.04441,1.04464,1.0441340000000001,21831,1.0441340000000001,2025-02-19 00:00:00,27.599999999994292,TP Hit
128,EURUSD,BUY,2025-02-19 02:45:00,1.04472,1.04451,1.0449720000000002,21865,1.04451,2025-02-19 03:00:00,-21.00000000000435,SL Hit
129,EURUSD,SELL,2025-02-19 03:25:00,1.0446,1.04479,1.0443719999999999,21873,1.0443719999999999,2025-02-19 03:35:00,22.800000000011696,TP Hit
130,EURUSD,BUY,2025-02-19 05:35:00,1.04493,1.04481,1.0450739999999998,21899,1.0450739999999998,2025-02-19 05:40:00,14.399999999992195,TP Hit
131,EURUSD,BUY,2025-02-19 06:35:00,1.04505,1.04487,1.045266,21911,1.045266,2025-02-19 07:00:00,21.599999999999397,TP Hit
132,EURUSD,BUY,2025-02-19 07:30:00,1.04511,1.04499,1.045254,21922,1.045254,2025-02-19 07:35:00,14.399999999992195,TP Hit
133,EURUSD,BUY,2025-02-19 16:50:00,1.0434,1.04309,1.0437720000000001,22034,1.0437720000000001,2025-02-19 16:55:00,37.2000000000039,TP Hit
134,EURUSD,BUY,2025-02-19 17:30:00,1.04385,1.04302,1.0448459999999997,22042,1.04302,2025-02-19 17:40:00,-82.99999999998863,SL Hit
135,EURUSD,BUY,2025-02-20 01:15:00,1.04245,1.04234,1.0425820000000001,22135,1.04234,2025-02-20 01:25:00,-11.000000000005448,SL Hit
136,EURUSD,SELL,2025-02-20 02:15:00,1.04213,1.04233,1.04189,22147,1.04233,2025-02-20 02:30:00,-19.999999999997797,SL Hit
137,EURUSD,SELL,2025-02-20 02:30:00,1.04204,1.0423499999999999,1.0416680000000003,22150,1.0423499999999999,2025-02-20 02:35:00,-30.99999999998104,SL Hit
138,EURUSD,BUY,2025-02-20 04:35:00,1.04301,1.04223,1.043946,22175,1.04284,2025-02-20 05:25:00,-17.000000000000348,Time Stop
139,EURUSD,BUY,2025-02-20 07:45:00,1.04303,1.04278,1.0433299999999996,22213,1.04278,2025-02-20 07:55:00,-24.99999999998614,SL Hit
140,EURUSD,BUY,2025-02-20 14:40:00,1.04399,1.04375,1.044278,22296,1.04375,2025-02-20 14:45:00,-24.000000000001794,SL Hit
141,EURUSD,SELL,2025-02-21 14:45:00,1.0463,1.04704,1.045412,22585,1.04704,2025-02-21 15:30:00,-73.99999999999629,SL Hit
142,EURUSD,SELL,2025-02-21 20:50:00,1.04567,1.04611,1.045142,22658,1.04611,2025-02-21 21:10:00,-43.99999999999959,SL Hit
143,EURUSD,BUY,2025-02-24 07:35:00,1.05173,1.05125,1.0523060000000002,22787,1.05125,2025-02-24 08:00:00,-48.00000000000359,SL Hit
144,EURUSD,SELL,2025-02-24 16:10:00,1.04645,1.04697,1.0458260000000004,22890,1.0458260000000004,2025-02-24 16:30:00,62.39999999997358,TP Hit
145,EURUSD,SELL,2025-02-25 03:30:00,1.04611,1.04642,1.0457380000000003,23026,1.04642,2025-02-25 03:50:00,-30.99999999998104,SL Hit
146,EURUSD,BUY,2025-02-25 07:20:00,1.04738,1.0472,1.047596,23072,1.047596,2025-02-25 07:40:00,21.599999999999397,TP Hit
147,EURUSD,SELL,2025-02-25 12:00:00,1.04699,1.04742,1.0464740000000001,23128,1.04711,2025-02-25 12:50:00,-11.999999999989795,Time Stop
148,EURUSD,BUY,2025-02-26 00:45:00,1.05129,1.05118,1.051422,23281,1.05118,2025-02-26 00:55:00,-11.000000000005448,SL Hit
149,EURUSD,BUY,2025-02-26 00:55:00,1.05128,1.05113,1.05146,23283,1.05146,2025-02-26 01:00:00,18.0000000000069,TP Hit
150,EURUSD,SELL,2025-02-27 04:05:00,1.04775,1.04802,1.047426,23609,1.047426,2025-02-27 04:15:00,32.399999999999096,TP Hit
151,EURUSD,BUY,2025-02-27 13:45:00,1.04809,1.04788,1.048342,23725,1.04788,2025-02-27 13:55:00,-21.00000000000435,SL Hit
152,EURUSD,SELL,2025-02-28 06:50:00,1.03878,1.0389,1.0386360000000001,23930,1.0386360000000001,2025-02-28 06:55:00,14.399999999992195,TP Hit
153,EURUSD,SELL,2025-02-28 07:30:00,1.03859,1.03884,1.0382899999999997,23938,1.03884,2025-02-28 07:35:00,-25.000000000008345,SL Hit
154,EURUSD,SELL,2025-02-28 07:40:00,1.03873,1.03887,1.038562,23940,1.03887,2025-02-28 07:50:00,-14.000000000002897,SL Hit
155,EURUSD,SELL,2025-02-28 08:20:00,1.03865,1.03887,1.0383860000000003,23948,1.0383860000000003,2025-02-28 08:25:00,26.39999999998199,TP Hit
156,EURUSD,BUY,2025-03-03 04:40:00,1.04199,1.04181,1.042206,24192,1.042206,2025-03-03 04:50:00,21.599999999999397,TP Hit
157,EURUSD,BUY,2025-03-03 21:30:00,1.04906,1.04888,1.049276,24394,1.049276,2025-03-03 21:40:00,21.599999999999397,TP Hit
158,EURUSD,BUY,2025-03-04 00:40:00,1.04861,1.04854,1.048694,24432,1.048694,2025-03-04 00:45:00,8.399999999997299,TP Hit
159,EURUSD,BUY,2025-03-04 01:10:00,1.04864,1.04838,1.0489519999999999,24438,1.0489519999999999,2025-03-04 01:20:00,31.19999999998679,TP Hit
160,EURUSD,BUY,2025-03-04 08:15:00,1.0485,1.04789,1.049232,24523,1.04878,2025-03-04 09:05:00,28.000000000005794,Time Stop
161,EURUSD,BUY,2025-03-04 13:00:00,1.05131,1.05097,1.051718,24580,1.051718,2025-03-04 13:05:00,40.799999999996395,TP Hit
162,EURUSD,BUY,2025-03-05 03:10:00,1.06201,1.06165,1.0624419999999999,24750,1.0624419999999999,2025-03-05 03:15:00,43.199999999998795,TP Hit
163,EURUSD,SELL,2025-03-05 05:40:00,1.06064,1.06086,1.0603760000000002,24780,1.06086,2025-03-05 05:45:00,-21.99999999998869,SL Hit
164,EURUSD,BUY,2025-03-06 01:20:00,1.0790899999999999,1.07883,1.0794019999999998,25016,1.07883,2025-03-06 01:30:00,-25.999999999992692,SL Hit
165,EURUSD,BUY,2025-03-06 01:35:00,1.07921,1.07879,1.079714,25019,1.079714,2025-03-06 02:00:00,50.40000000000599,TP Hit
166,EURUSD,SELL,2025-03-06 13:15:00,1.07924,1.07984,1.0785200000000001,25159,1.0785200000000001,2025-03-06 13:25:00,71.99999999998319,TP Hit
167,EURUSD,SELL,2025-03-07 02:35:00,1.07893,1.07915,1.078666,25319,1.078666,2025-03-07 03:00:00,26.400000000004194,TP Hit
168,EURUSD,SELL,2025-03-07 03:15:00,1.07846,1.0789900000000001,1.077824,25327,1.0789900000000001,2025-03-07 03:45:00,-53.00000000001414,SL Hit
169,EURUSD,BUY,2025-03-07 08:10:00,1.08134,1.08079,1.082,25386,1.082,2025-03-07 08:35:00,66.00000000001049,TP Hit
170,EURUSD,BUY,2025-03-11 01:00:00,1.084,1.08345,1.0846600000000002,25876,1.08421,2025-03-11 01:50:00,20.999999999982144,Time Stop
171,EURUSD,SELL,2025-03-12 04:15:00,1.0908,1.09116,1.090368,26203,1.090368,2025-03-12 04:55:00,43.199999999998795,TP Hit
172,EURUSD,SELL,2025-03-12 22:10:00,1.08878,1.0893,1.0881560000000003,26418,1.08886,2025-03-12 23:00:00,-7.999999999985795,Time Stop
173,EURUSD,SELL,2025-03-13 00:20:00,1.0887,1.08879,1.088592,26444,1.08879,2025-03-13 00:25:00,-8.999999999992347,SL Hit
174,EURUSD,BUY,2025-03-13 03:50:00,1.08912,1.08866,1.0896720000000002,26486,1.0896720000000002,2025-03-13 04:15:00,55.20000000001079,TP Hit
175,EURUSD,SELL,2025-03-14 00:45:00,1.0851,1.08526,1.084908,26737,1.08526,2025-03-14 00:50:00,-15.999999999993795,SL Hit
